0,0,0,0,0
10,0.8628,0.0209,0.853321376,-0.129241166
15,1.0314,0.0577,1.011189756,-0.211212043
17,0.5802,0.2164,0.618117256,0.037310286
23,0.5752,0.3378,0.661463367,0.086197994
33,0.8826,0.6971,1.119878515,0.103938841
45,0.962,1.0828,1.445891946,0.085418499
55,0.8579,1.421,1.65608628,0.112301577
70,0.5603,1.6585,1.750114098,0.040730632
80,0.3273,1.801,1.830473812,-0.00958721
90,0.0744,1.8377,1.8377,-0.0744
100,-0.1835,1.7581,1.763254951,-0.124578638
110,-0.4265,1.6362,1.683396657,-0.158834456
120,-0.6298,1.5037,1.6171424,-0.206427201
130,-0.8132,1.2601,1.488007487,-0.187029326
140,-0.8975,0.9425,1.29335221,-0.145095008
150,-0.7041,0.6038,0.911668487,-0.170856139
160,-0.5802,0.3126,0.652125155,-0.095307826
170,-0.8132,0.1325,0.823854048,0.010723671
180,0,0,0,0
190,0.8132,0.1325,-0.823854048,0.010723671
200,0.5802,0.3126,-0.652125155,-0.095307826
210,0.7041,0.6038,-0.911668487,-0.170856139
220,0.8975,0.9425,-1.29335221,-0.145095008
230,0.8132,1.2601,-1.488007487,-0.187029326
240,0.6298,1.5037,-1.731890766,-0.206427201
250,0.4265,1.6362,-1.683396657,-0.158834456
260,0.1835,1.7581,-1.763254951,-0.124578638
270,-0.0744,1.8377,-1.8377,-0.0744
280,-0.3273,1.801,-1.830473812,-0.00958721
290,-0.5603,1.6585,-1.750114098,0.040730632
305,-0.8579,1.421,-1.65608628,0.112301577
315,-0.962,1.0828,-1.445891946,0.085418499
327,-0.8826,0.6971,-1.119878515,0.103938841
337,-0.5752,0.3378,-0.661463367,0.086197994
343,-0.5802,0.2164,-0.618117256,0.037310286
345,-1.0314,0.0577,-1.011189756,-0.211212043
350,-0.8628,0.0209,-0.853321376,-0.129241166
360,0,0,0,0
